screen_name,user_tweeted,user_retweeted,user_favourited,user_replied,likes_per_tweet,retweets_per_tweet,lists_per_user,follower_friend_ratio,tweet_frequency,favourite_tweet_ratio,age_of_account_in_days,sources_count,urls_count,cdn_content_in_kb,source_identity
1010as101, 10, 1, 381.8181818181818, 6, 0.0, 0.0, 0.01584652436849053, 1.0754790826725906, 5.4503114252097085, 0.0, 1212.77, 2, 3, 0.3148314864468793,[2;0]
11noussa, 6, 5, 548.4545454545455, 6, 0.0, 0.0, 0.04706948545102812, 2.628562044005691, 2.0555786811333485, 0.0, 825.5519560185185, 2, 4, 0.6643489140279413,[2]
12Aljawhara, 1, 0, 585.0, 0, 0.0, 0.0, 0.028823444135431784, 1.1684601620358865, 9.648647924335789, 0.0, 1248.9832870370371, 1, 0, 0.4683809672007665,[2]
1D_Beards, 25, 5, 42696.6, 14, 0.0, 0.0, 0.5147554634167966, 2.0453227552850817, 210.64935803894713, 0.0, 1164.5027662037037, 4, 16, 36.66509109221917,[2;3;0]
1IIlll, 0, 99, 4.373737373737374, 99, 0.0, 0.0, 0.13281808482781268, 1.3033757940567965, 168.9141752229167, 0.0, 657.8158564814815, 1, 49, 0.00664887799623982,[2]
1Jakwon, 1, 0, 62.0, 1, 0.0, 0.0, 0.03305210243625029, 2.3996231747527084, 6.029116635652506, 0.0, 2420.420914351852, 1, 0, 0.025615379388093974,[2]
1Mot3b, 8, 6, 6.214285714285714, 7, 0.0, 0.0, 0.018924966155255903, 1.047420896657332, 16.919187581776416, 0.0, 803.6706249999999, 1, 6, 0.007732378814126391,[2]
1RealRhino, 0, 8, 104.625, 8, 0.0, 0.0, 0.0054391306018414945, 2174.4806847615287, 2.163252141842932, 0.0, 725.5054282407408, 1, 3, 0.14420981005435402,[2]
1dryhk, 4, 0, 0.0, 0, 0.0, 0.0, 0.0, 19.36352659525909, 4.990271959021053, 0.0, 278.92266203703707, 1, 4, 0.0,[3]
1hairo, 3, 4, 364.42857142857144, 4, 0.0, 0.0, 0.052844014207079015, 5.285481088251318, 6.578002941259393, 0.0, 538.1709722222222, 3, 5, 0.6771613302065856,[0;2]
21h32, 0, 9, 2323.8888888888887, 9, 0.0, 0.0, 0.25781094711505254, 57.67558919607715, 7.951640346165184, 0.0, 2008.8686226851853, 1, 2, 1.1568147675992004,[3]
247Sports, 5, 2, 558.0, 3, 0.0, 0.0, 0.3274877189778156, 241.11035083254507, 13.355670864621194, 0.0, 2135.8946412037035, 2, 6, 0.2612488412282049,[3;1]
2Good2BeTrue225, 0, 3, 4111.333333333333, 3, 0.0, 0.0, 0.07351041663201957, 1.06287958982333, 21.118631118076276, 0.0, 559.7272222222222, 1, 1, 7.345244558609402,[2]
2fl6l6, 21, 7, 177.60714285714286, 22, 0.0, 0.0, 0.04942343204677956, 13.603907283726395, 52.28244025682883, 0.0, 978.5476157407408, 1, 9, 0.18150076705536486,[2]
2inchesOfDoom, 1, 1, 540.0, 1, 0.0, 0.0, 0.04315751265072329, 1.0553645755889591, 17.554353789437712, 0.0, 1597.061851851852, 2, 1, 0.33812090582080473,[0;2]
300REZ, 4, 13, 8514.588235294117, 14, 0.0, 0.0, 0.04312698304998824, 1.7473831701276699, 46.27510672133852, 0.0, 2004.4870023148148, 1, 10, 4.247764253627651,[2]
305304, 2, 54, 17.232142857142858, 55, 0.0, 0.0, 0.012915943732007735, 1.110043512271339, 5.247616322155978, 0.0, 1454.8068402777778, 1, 11, 0.011844969641366677,[2]
30SecPIays, 0, 1, 3.0, 1, 0.0, 0.0, 0.03915745085221557, 32.290890957446805, 0.3083649254611976, 0.0, 204.30339120370374, 1, 1, 0.01468404406958084,[2]
3FLnQe, 17, 4, 2908.0476190476193, 16, 0.0, 0.0, 0.1465066175606246, 257.9220237398708, 32.8528237845123, 0.0, 1757.5709143518518, 1, 6, 1.654583377149271,[2]
