0220nicole, 1723, 1715, 8, 67547.82588508415, 41, 8776.042948345908, 1169.9396401625072, 172.17931890680444, 4172.441094468431, 1913.5685190219997, 0.23268866847403916, 955.2874652777778, 15, 1095, 70.70942343563846
12numaraorg, 1587, 1559, 28, 2168.4436042848142, 629, 607.8449905482041, 319.4580970384373, 0.6893610258377981, 1441.5413040764277, 79.30164698905357, 0.003918741420549647, 1989.766099537037, 12, 783, 1.0897982455271253
1zo__, 185, 165, 20, 1656.5297297297298, 31, 36.92972972972973, 101.33513513513513, 0.2552090175556422, 1.0301142897302213, 18.803258663599284, 0.0012389474018532766, 1584.5759375, 7, 59, 1.0454088633601568
44II4, 523, 66, 457, 4.994263862332696, 461, 1.5564053537284894, 41.95219885277247, 0.6519806446956653, 1.7576956954715903, 267.96052600382455, 3.129220650630056e-06, 1825.5865625, 5, 281, 0.0027357036718617367
AFP, 1568, 1563, 5, 2.2059948979591835, 30, 61.545280612244895, 133.95089285714286, 8.057693687548268, 1449.559664650479, 60.241963635279966, 0.0005374417105744906, 1894.9545833333334, 38, 697, 0.0011641413031011605
AJENews, 1098, 1096, 2, 59.088342440801455, 1, 56.72768670309654, 128.07650273224044, 5.859021058712248, 3021.785886598595, 29.448761317575055, 0.0006608615867856682, 2897.5295833333334, 26, 704, 0.020392662349568113
ASOS, 84, 82, 2, 10004.559523809523, 63, 46.76190476190476, 33.51190476190476, 1.668003960449242, 225.4231985315899, 69.01172006914925, 0.0002225029299002128, 3037.9300694444446, 6, 35, 3.293215872358473
AS_Monaco, 342, 341, 1, 827.9473684210526, 219, 105.50584795321637, 187.2953216374269, 0.9349372015871187, 4316.648682169621, 21.890004547577707, 0.0028348505653803765, 1688.4941319444442, 10, 196, 0.4903466069305204
ActualidadRT, 5128, 4971, 157, 10.0, 557, 101.09321372854915, 142.24278471138845, 3.6536524086981745, 27670.14449331552, 140.17002688942665, 0.00028368225392958824, 2529.5980324074076, 32, 3902, 0.0039531972558039365
AlArabiya, 369, 363, 6, 3.0, 6, 84.50135501355014, 59.49051490514905, 5.266709694390093, 322071.923818127, 50.80796706341878, 0.0007010294185374754, 2382.4162962962964, 11, 338, 0.0012592257720297662
