screen_name,user_tweeted,user_retweeted,user_favourited,user_replied,likes_per_tweet,retweets_per_tweet,lists_per_user,follower_friend_ratio,tweet_frequency,favourite_tweet_ratio,age_of_account_in_days,sources_count,urls_count,cdn_content_in_kb,source_identity
04LS_nagoya, 0, 2, 202.0, 2, 0.0, 0.0, 1.1955718147666035, 30.892313073162505, 5.207585203156871, 0.0, 1550.7703703703703, 1, 1, 0.1302578407864192,[2]
061medan, 11, 1, 3325.0, 9, 0.0, 0.0, 0.03680526093734309, 815.5754830917873, 16.34978165338963, 0.0, 1381.6596296296295, 1, 12, 2.4065261289361883,[0]
0_0I0_0, 0, 253, 115.12252964426878, 253, 0.0, 0.0, 0.10280976452902243, 1.1566405613373427, 39.10118352827806, 0.0, 1384.5648726851853, 2, 205, 0.08314708246281263,[2;3]
0gn, 21, 1, 27880.5, 11, 0.0, 0.0, 0.05355783873426611, 544.1401107181996, 69.55495225474948, 0.0, 1316.884548611111, 1, 5, 21.17155982231316,[2]
0iii7, 1, 2, 8.0, 2, 0.0, 0.0, 0.030115610773246006, 1.3227771502248937, 12.766753460831259, 0.0, 1494.1630208333333, 1, 2, 0.005354168111815666,[2]
0k__2, 0, 78, 148.02564102564102, 78, 0.0, 0.0, 0.07670284516445496, 1.2468915296063712, 74.0158112154004, 0.0, 1000.1998842592592, 1, 39, 0.14799605894302592,[2]
0ts__, 2, 0, 629.0, 0, 0.0, 0.0, 0.001375550109415465, 2319.191699604743, 10.8373099713727, 0.0, 716.3305555555556, 1, 0, 0.8780862342416403,[0]
100rahal100, 3, 15, 13489.333333333334, 15, 0.0, 0.0, 0.046163796152100964, 1.0963284055137112, 66.66385802291386, 0.0, 1171.453298611111, 2, 10, 11.515041486780948,[2]
10baigaeshida, 11, 0, 0.0, 0, 0.0, 0.0, 0.026779013650105953, 33.67396686620849, 36.84730854842043, 0.0, 1222.393275462963, 1, 2, 0.0,[4]
112Twente, 8, 1, 4.0, 1, 0.0, 0.0, 0.14708867967179212, 100.7292351441723, 32.670402988700374, 0.0, 2016.0018055555556, 2, 8, 0.0019841252071189034,[0]
121Training, 6, 0, 13.0, 0, 0.0, 0.0, 0.24469356876179416, 65.71265099659014, 20.803676994453536, 0.0, 1694.2973032407408, 1, 6, 0.007672797433564023,[0]
12News, 18, 55, 13900.301369863013, 56, 0.0, 0.0, 0.39903391809452404, 9.128995203647001, 62.07156935415303, 0.0, 2705.4525, 3, 59, 5.137884095123834,[0;4;1]
1402_fahid, 0, 25, 55.92, 25, 0.0, 0.0, 0.19276834550773445, 1.055283928811495, 76.07628766837531, 0.0, 559.5262268518519, 1, 19, 0.09994169587837064,[2]
140journos, 28, 0, 1316.892857142857, 10, 0.0, 0.0, 0.5561867815799215, 5.987311881907502, 26.231089787449026, 0.0, 1555.7829282407408, 3, 26, 0.8464502555198896,[0;3;1]
14Mundial, 75, 4, 41.0, 0, 0.0, 0.0, 0.2694808953987174, 1.6771164376885923, 43.24543938641298, 0.0, 800.2218287037036, 3, 79, 0.051235793038058926,[4;5;0]
1543Az, 0, 6, 211.0, 6, 0.0, 0.0, 0.08286058624425001, 1.2823752833187714, 36.2315158020202, 0.0, 628.2387962962963, 1, 2, 0.3358595509286027,[3]
164203, 16, 1, 1403.1176470588234, 10, 0.0, 0.0, 0.8921197863587652, 1.015047372711228, 37.49025124017087, 0.0, 2317.554305555556, 3, 1, 0.6054303209617662,[0;3;2]
1DAllUpdateess, 4, 1, 384.4, 0, 0.0, 0.0, 0.1517558556339395, 2.27154263877106, 37.33066395113593, 0.0, 1102.252800925926, 2, 5, 0.3487403249754432,[2;1]
1DBR, 3, 2, 1183.6, 2, 0.0, 0.0, 0.07683067058553936, 10.148440312092408, 105.53758047583669, 0.0, 1559.0279629629629, 2, 5, 0.7591910011354416,[2;1]
1DUpdatesPolish, 28, 1, 23881.0, 2, 0.0, 0.0, 0.13180988974570473, 571.2669858953518, 117.10888898394226, 0.0, 1000.5880324074074, 4, 22, 23.86696545084843,[2;1]
1Me100, 1, 0, 0.0, 0, 0.0, 0.0, 0.0040220508940265005, 80.68630451415456, 9.421654219257078, 0.0, 994.5174999999999, 1, 1, 0.0,[0]
1TVNewsAF, 19, 0, 72.94736842105263, 0, 0.0, 0.0, 0.10280147086072387, 3439.5530843237125, 27.867692037790718, 0.0, 1465.990787037037, 3, 11, 0.04975977275306688,[0;3;1]
1avce, 0, 163, 26.613496932515336, 163, 0.0, 0.0, 0.48953744286933015, 0.9311044072761013, 299.77452763537946, 0.0, 394.77680555555554, 3, 131, 0.06741403384898233,[0;3;2]
1nAW3ofGreatIAM, 10, 3, 78153.07692307692, 13, 0.0, 0.0, 0.10516978636166682, 1.2893254351070498, 77.92078343395374, 0.0, 1935.530613425926, 1, 2, 40.37811460121754,[2]
2014Abdallh, 19, 37, 3997.285714285714, 53, 0.0, 0.0, 0.04067605403643447, 1.0478752581334156, 120.02098655291888, 0.0, 1026.816574074074, 1, 3, 3.8928916957639137,[2]
2015figo, 2, 16, 105.66666666666667, 18, 0.0, 0.0, 0.1441012936670391, 192.73868451799606, 206.35593514459174, 0.0, 418.3386689814815, 1, 4, 0.25258641981132324,[2]
